filename,input_path,target_path,cx,cy,radius
clock_000000.jpg,synthetic_clocks\inputs\clock_000000.jpg,synthetic_clocks\targets\clock_000000.jpg,0.5,0.5,0.4140625
clock_000001.jpg,synthetic_clocks\inputs\clock_000001.jpg,synthetic_clocks\targets\clock_000001.jpg,0.5,0.5,0.4140625
clock_000002.jpg,synthetic_clocks\inputs\clock_000002.jpg,synthetic_clocks\targets\clock_000002.jpg,0.5,0.5,0.4140625
clock_000003.jpg,synthetic_clocks\inputs\clock_000003.jpg,synthetic_clocks\targets\clock_000003.jpg,0.5,0.5,0.4140625
clock_000004.jpg,synthetic_clocks\inputs\clock_000004.jpg,synthetic_clocks\targets\clock_000004.jpg,0.5,0.5,0.4140625
clock_000005.jpg,synthetic_clocks\inputs\clock_000005.jpg,synthetic_clocks\targets\clock_000005.jpg,0.5,0.5,0.4140625
clock_000006.jpg,synthetic_clocks\inputs\clock_000006.jpg,synthetic_clocks\targets\clock_000006.jpg,0.5,0.5,0.4140625
clock_000007.jpg,synthetic_clocks\inputs\clock_000007.jpg,synthetic_clocks\targets\clock_000007.jpg,0.5,0.5,0.4140625
clock_000008.jpg,synthetic_clocks\inputs\clock_000008.jpg,synthetic_clocks\targets\clock_000008.jpg,0.5,0.5,0.4140625
clock_000009.jpg,synthetic_clocks\inputs\clock_000009.jpg,synthetic_clocks\targets\clock_000009.jpg,0.5,0.5,0.4140625
clock_000010.jpg,synthetic_clocks\inputs\clock_000010.jpg,synthetic_clocks\targets\clock_000010.jpg,0.5,0.5,0.4140625
clock_000011.jpg,synthetic_clocks\inputs\clock_000011.jpg,synthetic_clocks\targets\clock_000011.jpg,0.5,0.5,0.4140625
clock_000012.jpg,synthetic_clocks\inputs\clock_000012.jpg,synthetic_clocks\targets\clock_000012.jpg,0.5,0.5,0.4140625
clock_000013.jpg,synthetic_clocks\inputs\clock_000013.jpg,synthetic_clocks\targets\clock_000013.jpg,0.5,0.5,0.4140625
clock_000014.jpg,synthetic_clocks\inputs\clock_000014.jpg,synthetic_clocks\targets\clock_000014.jpg,0.5,0.5,0.4140625
clock_000015.jpg,synthetic_clocks\inputs\clock_000015.jpg,synthetic_clocks\targets\clock_000015.jpg,0.5,0.5,0.4140625
clock_000016.jpg,synthetic_clocks\inputs\clock_000016.jpg,synthetic_clocks\targets\clock_000016.jpg,0.5,0.5,0.4140625
clock_000017.jpg,synthetic_clocks\inputs\clock_000017.jpg,synthetic_clocks\targets\clock_000017.jpg,0.5,0.5,0.4140625
clock_000018.jpg,synthetic_clocks\inputs\clock_000018.jpg,synthetic_clocks\targets\clock_000018.jpg,0.5,0.5,0.4140625
clock_000019.jpg,synthetic_clocks\inputs\clock_000019.jpg,synthetic_clocks\targets\clock_000019.jpg,0.5,0.5,0.4140625
clock_000020.jpg,synthetic_clocks\inputs\clock_000020.jpg,synthetic_clocks\targets\clock_000020.jpg,0.5,0.5,0.4140625
clock_000021.jpg,synthetic_clocks\inputs\clock_000021.jpg,synthetic_clocks\targets\clock_000021.jpg,0.5,0.5,0.4140625
clock_000022.jpg,synthetic_clocks\inputs\clock_000022.jpg,synthetic_clocks\targets\clock_000022.jpg,0.5,0.5,0.4140625
clock_000023.jpg,synthetic_clocks\inputs\clock_000023.jpg,synthetic_clocks\targets\clock_000023.jpg,0.5,0.5,0.4140625
clock_000024.jpg,synthetic_clocks\inputs\clock_000024.jpg,synthetic_clocks\targets\clock_000024.jpg,0.5,0.5,0.4140625
clock_000025.jpg,synthetic_clocks\inputs\clock_000025.jpg,synthetic_clocks\targets\clock_000025.jpg,0.5,0.5,0.4140625
clock_000026.jpg,synthetic_clocks\inputs\clock_000026.jpg,synthetic_clocks\targets\clock_000026.jpg,0.5,0.5,0.4140625
clock_000027.jpg,synthetic_clocks\inputs\clock_000027.jpg,synthetic_clocks\targets\clock_000027.jpg,0.5,0.5,0.4140625
clock_000028.jpg,synthetic_clocks\inputs\clock_000028.jpg,synthetic_clocks\targets\clock_000028.jpg,0.5,0.5,0.4140625
clock_000029.jpg,synthetic_clocks\inputs\clock_000029.jpg,synthetic_clocks\targets\clock_000029.jpg,0.5,0.5,0.4140625
clock_000030.jpg,synthetic_clocks\inputs\clock_000030.jpg,synthetic_clocks\targets\clock_000030.jpg,0.5,0.5,0.4140625
clock_000031.jpg,synthetic_clocks\inputs\clock_000031.jpg,synthetic_clocks\targets\clock_000031.jpg,0.5,0.5,0.4140625
clock_000032.jpg,synthetic_clocks\inputs\clock_000032.jpg,synthetic_clocks\targets\clock_000032.jpg,0.5,0.5,0.4140625
clock_000033.jpg,synthetic_clocks\inputs\clock_000033.jpg,synthetic_clocks\targets\clock_000033.jpg,0.5,0.5,0.4140625
clock_000034.jpg,synthetic_clocks\inputs\clock_000034.jpg,synthetic_clocks\targets\clock_000034.jpg,0.5,0.5,0.4140625
clock_000035.jpg,synthetic_clocks\inputs\clock_000035.jpg,synthetic_clocks\targets\clock_000035.jpg,0.5,0.5,0.4140625
clock_000036.jpg,synthetic_clocks\inputs\clock_000036.jpg,synthetic_clocks\targets\clock_000036.jpg,0.5,0.5,0.4140625
clock_000037.jpg,synthetic_clocks\inputs\clock_000037.jpg,synthetic_clocks\targets\clock_000037.jpg,0.5,0.5,0.4140625
clock_000038.jpg,synthetic_clocks\inputs\clock_000038.jpg,synthetic_clocks\targets\clock_000038.jpg,0.5,0.5,0.4140625
clock_000039.jpg,synthetic_clocks\inputs\clock_000039.jpg,synthetic_clocks\targets\clock_000039.jpg,0.5,0.5,0.4140625
clock_000040.jpg,synthetic_clocks\inputs\clock_000040.jpg,synthetic_clocks\targets\clock_000040.jpg,0.5,0.5,0.4140625
clock_000041.jpg,synthetic_clocks\inputs\clock_000041.jpg,synthetic_clocks\targets\clock_000041.jpg,0.5,0.5,0.4140625
clock_000042.jpg,synthetic_clocks\inputs\clock_000042.jpg,synthetic_clocks\targets\clock_000042.jpg,0.5,0.5,0.4140625
clock_000043.jpg,synthetic_clocks\inputs\clock_000043.jpg,synthetic_clocks\targets\clock_000043.jpg,0.5,0.5,0.4140625
clock_000044.jpg,synthetic_clocks\inputs\clock_000044.jpg,synthetic_clocks\targets\clock_000044.jpg,0.5,0.5,0.4140625
clock_000045.jpg,synthetic_clocks\inputs\clock_000045.jpg,synthetic_clocks\targets\clock_000045.jpg,0.5,0.5,0.4140625
clock_000046.jpg,synthetic_clocks\inputs\clock_000046.jpg,synthetic_clocks\targets\clock_000046.jpg,0.5,0.5,0.4140625
clock_000047.jpg,synthetic_clocks\inputs\clock_000047.jpg,synthetic_clocks\targets\clock_000047.jpg,0.5,0.5,0.4140625
clock_000048.jpg,synthetic_clocks\inputs\clock_000048.jpg,synthetic_clocks\targets\clock_000048.jpg,0.5,0.5,0.4140625
clock_000049.jpg,synthetic_clocks\inputs\clock_000049.jpg,synthetic_clocks\targets\clock_000049.jpg,0.5,0.5,0.4140625
clock_000050.jpg,synthetic_clocks\inputs\clock_000050.jpg,synthetic_clocks\targets\clock_000050.jpg,0.5,0.5,0.4140625
clock_000051.jpg,synthetic_clocks\inputs\clock_000051.jpg,synthetic_clocks\targets\clock_000051.jpg,0.5,0.5,0.4140625
clock_000052.jpg,synthetic_clocks\inputs\clock_000052.jpg,synthetic_clocks\targets\clock_000052.jpg,0.5,0.5,0.4140625
clock_000053.jpg,synthetic_clocks\inputs\clock_000053.jpg,synthetic_clocks\targets\clock_000053.jpg,0.5,0.5,0.4140625
clock_000054.jpg,synthetic_clocks\inputs\clock_000054.jpg,synthetic_clocks\targets\clock_000054.jpg,0.5,0.5,0.4140625
